"Nome dell'inserzione",Destinazione,Età,"Pubblicazione dell'inserzione",Risultati,"Indicatore di risultato",cost_per_result,"Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Impression,Copertura,Frequenza,"CPM (costo per 1000 impression) (EUR)","Riproduzioni del video di 3 secondi","Clic sul link","Tempo medio di riproduzione del video","Percentuale di visualizzazione del video",Fine,"Impostazione di attribuzione","Valutazione della qualità","Valutazione del tasso di coinvolgimento","Classificazione tasso di conversione",shop_clicks,cost_per_action_type:link_click,"CTR (tasso di clic sul link)","Clic (tutti)","CTR (tutti i clic)","CPC (tutti i clic) (EUR)","Visualizzazioni della pagina di destinazione",cost_per_action_type:omni_landing_page_view,"ROAS (ritorno sulla spesa pubblicitaria) per gli acquisti in-app","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti sul sito Web","Percentuale di successo","Valore risultati","Indicatore del ROAS dei risultati","ROAS risultati","Costo per 1000 account del Centro gestione account raggiunti (EUR)",Visualizzazioni,Visualizzazioni,cost_per_2_sec_continuous_video_view:video_view,cost_per_thruplay:video_view,"Riproduzioni del video di 2 secondi continuativi",unique_video_continuous_2_sec_watched_actions:video_view,ThruPlay,"Riproduzioni del video",cost_per_action_type:video_view,"Clic unici (tutti)","Clic unici sul link","Costo per clic unico (tutti) (EUR)",cost_per_unique_action_type:link_click,outbound_clicks_ctr:outbound_click,"Clic in uscita","Clic unici in uscita",cost_per_outbound_click:outbound_click,cost_per_unique_outbound_click:outbound_click,unique_outbound_clicks_ctr:outbound_click,"CTR unico (tutti i clic)","Visualizzazioni della foto","CTR unico (tasso di clic sul link)",cost_per_action_type:landing_page_view,"Visite al profilo Instagram",cost_per_action_type:like,"""Mi piace"" di Facebook","Follower di Instagram","Commenti ai post","Condivisioni dei post",ar_effect_share:ar_effect_share,cost_per_action_type:post_engagement,cost_per_action_type:group_join,cost_per_action_type:page_engagement,cost_per_action_type:rsvp,"Interazione con la Pagina",instagram_upcoming_event_reminders_set,Registrazioni,"Risposte all'evento","Interazioni con il post",actions:group_join,"Salvataggi del post","Reazioni ai post",onsite_conversion_returning_messaging_connection,actions:onsite_conversion.messaging_conversation_replied_7d,cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_welcome_message_view,"Contatti dei messaggi","Conversazioni tramite messaggi avviate",cost_per_action_type:onsite_conversion.messaging_conversation_started_7d,cost_per_unique_action_type:onsite_conversion.messaging_first_reply,"Nuovi contatti dei messaggi","Acquisti diretti sul sito web","Clic sulle inserzioni in-app","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti","ROAS (ritorno sulla spesa pubblicitaria) relativo alle donazioni","Riproduzioni del video al 100%","Riproduzioni del video al 50%","Riproduzioni del video al 95%","Riproduzioni del video al 25%","Riproduzioni del video al 75%","Tasso di riproduzioni del video di 3 secondi per impression","Data di creazione","Fine dei report",Inizio,"Pubblicazione del gruppo di inserzioni","Data dell'ultima modifica","Inizio dei report","Ultima modifica significativa",Obiettivo,Offerta,"Tipo di offerta","ID account","ID dell'inserzione","Nome del gruppo di inserzioni","Nome della campagna","Nome dell'account","ID della campagna","ID del gruppo di inserzioni",url_tags,instant_experience_element_reach:instant_experience_element_impression,instant_experience_element_impressions:instant_experience_element_impression,"Impression da aggiornamento automatico","Impression totali (include le impression non valide da traffico non umano)","Percentuale di visualizzazione dell'esperienza interattiva","Tempo di visualizzazione dell'esperienza interattiva","Costo per aumento stimato del ricordo dell'inserzione (persone) (EUR)","Aumento stimato del ricordo dell'inserzione (persone)","Tasso di aumento stimato del ricordo dell'inserzione","Clic in uscita per l'esperienza interattiva","Clic per avviare l'esperienza interattiva","Clic per aprire l'esperienza interattiva","Tasso di acquisti per clic sul link","Tasso di visualizzazioni della pagina di destinazione per clic sul link","Tasso di acquisti per visualizzazioni della pagina di destinazione","Conversioni degli acquisti medie",cost_per_action_type:app_custom_event.fb_mobile_d7_retention,"Mantenimento del giorno 7 nell'app mobile","Mantenimento del giorno 2 nell'app mobile",cost_per_action_type:app_custom_event.fb_mobile_d2_retention
,"Nessun dettaglio",,0,,,,0,0,109.6,52781,45948,1.148712,2.076505,,,00:00:00,0,,"Impostazioni di attribuzione multipla",-,-,-,,,,511,0.968151,0.214481,,,,,,,,,2.385305,45783,57893,,,,,,,,503,,0.217893,,,,,,,,1.094716,,0.039175,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,59.114075,0,2025-11-29,,0,0,2025-10-10,0,Più,0,0,,0,,,,0,0,,,,0,52779,0,0,0,0,0,,0,0,0,50,0,,,,,
"Post IG - 29/10/2024 (fuori ora)","Nessun dettaglio",,inactive,,,,"Uso del budget della campagna",0,0,0,0,0,0,,,00:00:00,0,"In corso",-,-,-,-,,,,0,0,0,,,,,,,,,0,0,0,,,,,,,,0,,0,,,,,,,,0,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2024-10-29,2025-11-29,2024-10-29,inactive,2025-10-11,2025-10-10,0,Contatti,0,ABSOLUTE_OCPM,1260829851770085,120212012732980167,"(Post IG - Stasera) Italia - Rap - 18 : 45","ADS - Stasera (Post IG -> Smart Link Pixel)",YangKidd,120212012732440167,120212012732760167,,,,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"Tutte le destinazioni",18-24,inactive,2490,video_thruplay_watched_actions,,21.67,Giornaliero,31.42,15494,12786,1.211794,2.027882,8886,,10,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,123,0.793856,0.255447,,,,,16.07073706,,,,2.457375,0,0,,,10418,,2490,15144,,120,,0.261833,,,,,,,,0.938527,,0,,136,,,5,5,,,,,,,9034,,,,9034,,,143,,,,,,,,,,,0,,,,410,969,451,2271,696,57.351233,2025-10-11,2025-11-29,2025-10-11,inactive,2025-11-29,2025-10-10,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,15493,0,0,0.01525243,2060,16.11137181,,1,1,0,0,0,,,,,
BNG_LONG,YangKidd,18-24,,,,,,,,,,,,0,,0,,2025-10-16,,-,-,-,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,136,,,5,5,,,,,,,148,,,,148,,,143,,,,,,,,,,,0,,,,0,0,0,0,0,,2025-10-11,2025-11-29,2025-10-11,,2025-11-29,2025-10-10,,,,,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,,,,,,,,,,,,0,0,,,,,
BNG_LONG,Indef.,18-24,,,,,,,,,,,,8886,,10,,2025-10-16,,-,-,-,,,,,,,,,,,,,,,,,,,,10418,9345,2490,15144,,,,,,,,,,,,,,,,136,,,5,0,,,,,,,8886,,,,8886,,,0,,,,,,,,,,,0,,,,410,969,451,2271,696,,2025-10-11,2025-11-29,2025-10-11,,2025-11-29,2025-10-10,,,,,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,,,,,,,,,,,,0,0,,,,,
BNG_LONG,"Tutte le destinazioni",25-34,inactive,6067,video_thruplay_watched_actions,,21.67,Giornaliero,70.19,33802,30412,1.111469,2.076504,20807,,11,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,337,0.996982,0.208279,,,,,17.94864209,,,,2.307971,0,0,,,24392,,6067,33059,,330,,0.212697,,,,,,,,1.085098,,0,,345,,,7,8,,,,,,,21019,,,,21019,,2,202,,,,,,,,,,,0,,,,1195,2622,1303,5421,1948,61.555529,2025-10-11,2025-11-29,2025-10-11,inactive,2025-11-29,2025-10-10,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,33801,0,0,0.02088988,3360,11.04827042,,1,1,0,0,0,,,,,
BNG_LONG,YangKidd,25-34,,,,,,,,,,,,0,,0,,2025-10-16,,-,-,-,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,345,,,7,8,,,,,,,212,,,,212,,2,202,,,,,,,,,,,0,,,,0,0,0,0,0,,2025-10-11,2025-11-29,2025-10-11,,2025-11-29,2025-10-10,,,,,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,,,,,,,,,,,,0,0,,,,,
BNG_LONG,Indef.,25-34,,,,,,,,,,,,20807,,11,,2025-10-16,,-,-,-,,,,,,,,,,,,,,,,,,,,24392,23234,6067,33059,,,,,,,,,,,,,,,,345,,,7,0,,,,,,,20807,,,,20807,,0,0,,,,,,,,,,,0,,,,1195,2622,1303,5421,1948,,2025-10-11,2025-11-29,2025-10-11,,2025-11-29,2025-10-10,,,,,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,,,,,,,,,,,,0,0,,,,,
BNG_LONG,"Tutte le destinazioni",35-44,inactive,357,video_thruplay_watched_actions,,21.67,Giornaliero,4.31,2020,1840,1.097826,2.133663,1289,,12,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,23,1.138614,0.187391,,,,,17.67326733,,,,2.342391,0,0,,,1517,,357,1979,,22,,0.195909,,,,,,,,1.195652,,0,,23,,,0,,,,,,,,1302,,,,1302,,,13,,,,,,,,,,,0,,,,75,150,80,326,115,63.811881,2025-10-11,2025-11-29,2025-10-11,inactive,2025-11-29,2025-10-10,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,2020,0,0,0.02394444,180,9.7826087,,1,1,0,0,0,,,,,
BNG_LONG,YangKidd,35-44,,,,,,,,,,,,0,,0,,2025-10-16,,-,-,-,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,23,,,0,,,,,,,,13,,,,13,,,13,,,,,,,,,,,0,,,,0,0,0,0,0,,2025-10-11,2025-11-29,2025-10-11,,2025-11-29,2025-10-10,,,,,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,,,,,,,,,,,,0,0,,,,,
BNG_LONG,Indef.,35-44,,,,,,,,,,,,1289,,12,,2025-10-16,,-,-,-,,,,,,,,,,,,,,,,,,,,1517,1510,357,1979,,,,,,,,,,,,,,,,23,,,0,,,,,,,,1289,,,,1289,,,0,,,,,,,,,,,0,,,,75,150,80,326,115,,2025-10-11,2025-11-29,2025-10-11,,2025-11-29,2025-10-10,,,,,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,,,,,,,,,,,,0,0,,,,,
TLP_INSERZ,"Tutte le destinazioni",25-34,active,,,,35,Totale,0,3,3,1,0,2,,3,0,2025-12-03,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,0,0,0,,,,,,,,,0,0,0,,,2,,,3,,0,,0,,,,,,,,0,,0,,0,,,0,,,,,,,,2,,,,2,,,,,,,,,,,,,,0,,,,,,,,,66.666667,2025-11-29,2025-11-29,2025-11-29,active,2025-11-29,2025-10-10,0,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120236098247870167,TLP_HYPE_PROFILE,TLP_HYPE_PROFILE,YangKidd,120236098247880167,120236098247890167,,,,0,3,0,0,0,1,33.33333333,,1,1,0,0,0,,,,,
TLP_INSERZ,Indef.,25-34,,,,,,,,,,,,2,,3,,2025-12-03,,-,-,-,,,,,,,,,,,,,,,,,,,,2,2,,3,,,,,,,,,,,,,,,,0,,,0,,,,,,,,2,,,,2,,,,,,,,,,,,,,0,,,,,,,,,,2025-11-29,2025-11-29,2025-11-29,,2025-11-29,2025-10-10,,,,,1260829851770085,120236098247870167,TLP_HYPE_PROFILE,TLP_HYPE_PROFILE,YangKidd,120236098247880167,120236098247890167,,,,,,,,,,,,,,,0,0,,,,,
TLP_spotify,"Tutte le destinazioni",18-24,active,8,actions:link_click,,"Uso del budget della campagna",0,1.69,740,727,1.017882,2.283784,81,8,2,0,2025-12-03,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,1.0810810810811,11,1.486486,0.153636,4,,,,1.08108108,,,,2.324622,0,0,,,,,5,707,,9,8,0.187778,,,8,8,,,,1.237964,,1.100413,,2,,,0,,,,,,,,91,,,,91,,,2,,,,,,,,,,,0,,,,1,4,1,16,3,10.945946,2025-11-29,2025-11-29,2025-11-29,active,2025-11-29,2025-10-10,2025-11-29T18:02:20+0100,Traffico,0,ABSOLUTE_OCPM,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,0,740,0,0,0,0,0,,1,1,0,0,0,,,,,
TLP_spotify,878347724715065,18-24,,,,,,,,,,,,0,8,0,,2025-12-03,,-,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,,,8,,,,8,8,,,,,,,,2,,,0,,,,,,,,8,,,,8,,,0,,,,,,,,,,,0,,,,0,0,0,0,0,,2025-11-29,2025-11-29,2025-11-29,,2025-11-29,2025-10-10,,,,,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,,,,,,,,,,,,0,0,,,,,
TLP_spotify,YangKidd,18-24,,,,,,,,,,,,0,0,0,,2025-12-03,,-,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,0,,,,,,,,2,,,0,,,,,,,,2,,,,2,,,2,,,,,,,,,,,0,,,,0,0,0,0,0,,2025-11-29,2025-11-29,2025-11-29,,2025-11-29,2025-10-10,,,,,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,,,,,,,,,,,,0,0,,,,,
TLP_spotify,Indef.,18-24,,,,,,,,,,,,81,0,2,,2025-12-03,,-,-,-,,,,,,,,,,,,,,,,,,,,,,5,707,,,0,,,,0,0,,,,,,,,2,,,0,,,,,,,,81,,,,81,,,0,,,,,,,,,,,0,,,,1,4,1,16,3,,2025-11-29,2025-11-29,2025-11-29,,2025-11-29,2025-10-10,,,,,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,,,,,,,,,,,,0,0,,,,,
TLP_spotify,"Tutte le destinazioni",25-34,active,9,actions:link_click,,"Uso del budget della campagna",0,1.81,658,638,1.031348,2.75076,120,9,2,0,2025-12-03,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,1.3677811550152,16,2.431611,0.113125,5,,,,1.36778116,,,,2.836991,0,0,,,,,11,624,,14,9,0.129286,,,9,9,,,,2.194357,,1.410658,,7,,,0,,,,,,,,132,,,,132,,,3,,,,,,,,,,,0,,,,2,10,2,23,2,18.237082,2025-11-29,2025-11-29,2025-11-29,active,2025-11-29,2025-10-10,2025-11-29T18:02:20+0100,Traffico,0,ABSOLUTE_OCPM,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,0,658,0,0,0,0,0,,1,1,0,0,0,,,,,
TLP_spotify,878347724715065,25-34,,,,,,,,,,,,0,9,0,,2025-12-03,,-,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,,,9,,,,9,9,,,,,,,,7,,,0,,,,,,,,9,,,,9,,,0,,,,,,,,,,,0,,,,0,0,0,0,0,,2025-11-29,2025-11-29,2025-11-29,,2025-11-29,2025-10-10,,,,,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,,,,,,,,,,,,0,0,,,,,
TLP_spotify,YangKidd,25-34,,,,,,,,,,,,0,0,0,,2025-12-03,,-,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,0,,,,,,,,7,,,0,,,,,,,,3,,,,3,,,3,,,,,,,,,,,0,,,,0,0,0,0,0,,2025-11-29,2025-11-29,2025-11-29,,2025-11-29,2025-10-10,,,,,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,,,,,,,,,,,,0,0,,,,,
TLP_spotify,Indef.,25-34,,,,,,,,,,,,120,0,2,,2025-12-03,,-,-,-,,,,,,,,,,,,,,,,,,,,,,11,624,,,0,,,,0,0,,,,,,,,7,,,0,,,,,,,,120,,,,120,,,0,,,,,,,,,,,0,,,,2,10,2,23,2,,2025-11-29,2025-11-29,2025-11-29,,2025-11-29,2025-10-10,,,,,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,,,,,,,,,,,,0,0,,,,,
TLP_spotify,"Tutte le destinazioni",35-44,active,1,actions:link_click,,"Uso del budget della campagna",0,0.18,64,61,1.04918,2.8125,16,1,2,0,2025-12-03,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,1.5625,1,1.5625,0.18,,,,,1.5625,,,,2.95082,0,0,,,,,1,61,,1,1,0.18,,,1,1,,,,1.639344,,1.639344,,1,,,0,,,,,,,,18,,,,18,,,1,,,,,,,,,,,0,,,,,1,,2,,25,2025-11-29,2025-11-29,2025-11-29,active,2025-11-29,2025-10-10,2025-11-29T18:02:20+0100,Traffico,0,ABSOLUTE_OCPM,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,0,64,0,0,0,0,0,,1,1,0,0,0,,,,,
TLP_spotify,878347724715065,35-44,,,,,,,,,,,,0,1,0,,2025-12-03,,-,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,,,1,,,,1,1,,,,,,,,1,,,0,,,,,,,,1,,,,1,,,0,,,,,,,,,,,0,,,,,0,,0,,,2025-11-29,2025-11-29,2025-11-29,,2025-11-29,2025-10-10,,,,,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,,,,,,,,,,,,0,0,,,,,
TLP_spotify,YangKidd,35-44,,,,,,,,,,,,0,0,0,,2025-12-03,,-,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,0,,,,,,,,1,,,0,,,,,,,,1,,,,1,,,1,,,,,,,,,,,0,,,,,0,,0,,,2025-11-29,2025-11-29,2025-11-29,,2025-11-29,2025-10-10,,,,,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,,,,,,,,,,,,0,0,,,,,
TLP_spotify,Indef.,35-44,,,,,,,,,,,,16,0,2,,2025-12-03,,-,-,-,,,,,,,,,,,,,,,,,,,,,,1,61,,,0,,,,0,0,,,,,,,,1,,,0,,,,,,,,16,,,,16,,,0,,,,,,,,,,,0,,,,,1,,2,,,2025-11-29,2025-11-29,2025-11-29,,2025-11-29,2025-10-10,,,,,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,,,,,,,,,,,,0,0,,,,,
