"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"1 dicembre","SCUSA MANU     BNG OUT OVUNQUE PROD. @_loz4rt_  🎥","https://www.tiktok.com/@_yngkid_/video/7559357062069718294","10 ottobre","157","7","15","4326"
"1 dicembre","HO CHIESTO AL SIGNORE TOGLIMI LE PARE🎶 🎥 TOGLIMI LE PARE FUORI OVUNQUE🩸#fyp #newmusic #trapita #perte ","https://www.tiktok.com/@_yngkid_/video/7577549666196213014","28 novembre","78","18","7","2297"
"1 dicembre","E tu sei mai stata una Stella Celeste?🌌🌠                            @_loz4rt_ @piè @Nicla Russo      #fyp #newmusic #trapita #nuoveuscite","https://www.tiktok.com/@_yngkid_/video/7491682929257549078","10 aprile","148","12","27","2387"
"1 dicembre","Non mi bevo più le cazzate tue @_loz4rt_       #fyp #newmusic #trapita #nuoveuscite","https://www.tiktok.com/@_yngkid_/video/7499126762924772630","30 aprile","77","8","9","1266"
"1 dicembre","Sei mai stata un stella celeste?    @_loz4rt_        #fyp #newmusic #trapita #nuoveuscite #perte ","https://www.tiktok.com/@_yngkid_/video/7496131007662394646","22 aprile","69","13","12","1038"
"1 dicembre","PRIMO N IN PROVINCIA DI TA BEVO 🥃 E POI PARLO A 🤌🏾 “RESTI” prod. @_loz4rt_  FUORI ORA #trapita #trapitaly #fyp #foryoupagе ","https://www.tiktok.com/@_yngkid_/video/7450304053210303766","20 dicembre","100","10","7","2101"
"1 dicembre","Hai mai visto una stella celeste? @_loz4rt_        #fyp #newmusic #trapita #nuoveuscite","https://www.tiktok.com/@_yngkid_/video/7493535472841477398","15 aprile","79","11","24","1280"
"1 dicembre","Tessere legami e invece tu mi detesti🌌 @_loz4rt_ 💻       #fyp #newmusic #trapita #nuoveuscite","https://www.tiktok.com/@_yngkid_/video/7496864423953370390","24 aprile","62","13","5","1051"
"1 dicembre","Pa’ per me era il 🤴🏿 del 🌍 #fyp ","https://www.tiktok.com/@_yngkid_/video/7560974226207804694","14 ottobre","12","2","1","46"
"1 dicembre","Avremmo dovuto tessere legami🌌       @_loz4rt_       #fypシ゚ #fyp #newmusic #trapita #nuoveuscite","https://www.tiktok.com/@_yngkid_/video/7493178014151216406","14 aprile","82","15","39","982"
"1 dicembre","😮‍💨LEI CADE DALLE NUVOLE🥱 @_loz4rt_ @piskella.rt  #fyp #newmusic #trapita #nuoveuscite ","https://www.tiktok.com/@_yngkid_/video/7456112872771390742","4 gennaio","69","10","4","1762"
"1 dicembre","Sai che non pesa più adesso e so le 03:22⌚️ @_loz4rt_        #fyp #newmusic #trapita #nuoveuscite #fyppp ","https://www.tiktok.com/@_yngkid_/video/7491357076900318486","9 aprile","93","14","11","1085"
"1 dicembre","LEGAMI FATTI A PEZZI🔗🧬 @_loz4rt_  #fyp #newmusic #trapita #nuoveuscite","https://www.tiktok.com/@_yngkid_/video/7490928523029368086","8 aprile","104","11","8","1237"
"1 dicembre","Un’estate non mi basta #fyp #sea #newmusic ","https://www.tiktok.com/@_yngkid_/video/7417818016961842465","23 settembre","121","21","9","2041"
"1 dicembre","🌌Delle stelle celesti🌟 @_loz4rt_  #fyp #newmusic #trapita #nuoveuscite","https://www.tiktok.com/@_yngkid_/video/7490555387029064982","7 aprile","111","21","12","1636"